,x,y,s,R
0,0.1,0,0.1,10000
1,0.2,0,0.1,10000
2,0.3,0,0.1,10000
3,0.4,0,0.1,10000
4,0.5,0,0.1,10000
5,0.6,0,0.1,10000
6,0.7,0,0.1,10000
7,0.8,0,0.1,10000
8,0.9,0,0.1,10000
9,1,0,0.1,10000
10,1.1,0,0.1,10000
11,1.2,0,0.1,10000
12,1.3,0,0.1,10000
13,1.4,0,0.1,10000
14,1.5,0,0.1,10000
15,1.6,0,0.1,10000
16,1.7,0,0.1,10000
17,1.8,0,0.1,10000
18,1.9,0,0.1,10000
19,2,0,0.1,10000
20,2.1,0,0.1,10000
21,2.2,0,0.1,10000
22,2.3,0,0.1,10000
23,2.4,0,0.1,10000
24,2.5,0,0.1,10000
25,2.6,0,0.1,10000
26,2.7,0,0.1,10000
27,2.8,0,0.1,10000
28,2.9,0,0.1,10000
29,3,0,0.1,10000
30,3.1,0,0.1,10000
31,3.2,0,0.1,10000
32,3.3,0,0.1,10000
33,3.4,0,0.1,10000
34,3.5,0,0.1,10000
35,3.6,0,0.1,10000
36,3.7,0,0.1,10000
37,3.8,0,0.1,10000
38,3.9,0,0.1,10000
39,4,0,0.1,10000
40,4.1,0,0.1,10000
41,4.2,0,0.1,10000
42,4.3,0,0.1,10000
43,4.4,0,0.1,10000
44,4.5,0,0.1,10000
45,4.6,0,0.1,10000
46,4.7,0,0.1,10000
47,4.8,0,0.1,10000
48,4.9,0,0.1,10000
49,5,0,0.1,10000
50,5.1,0,0.1,10000
51,5.2,0,0.1,10000
52,5.3,0,0.1,10000
53,5.4,0,0.1,10000
54,5.5,0,0.1,10000
55,5.6,0,0.1,10000
56,5.7,0,0.1,10000
57,5.8,0,0.1,10000
58,5.9,0,0.1,10000
59,6,0,0.1,10000
60,6.1,0,0.1,10000
61,6.2,0,0.1,10000
62,6.3,0,0.1,10000
63,6.4,0,0.1,10000
64,6.5,0,0.1,10000
65,6.6,0,0.1,10000
66,6.7,0,0.1,10000
67,6.8,0,0.1,10000
68,6.9,0,0.1,10000
69,7,0,0.1,10000
70,7.1,0,0.1,10000
71,7.2,0,0.1,10000
72,7.3,0,0.1,10000
73,7.4,0,0.1,10000
74,7.5,0,0.1,10000
75,7.6,0,0.1,10000
76,7.7,0,0.1,10000
77,7.8,0,0.1,10000
78,7.9,0,0.1,10000
79,8,0,0.1,10000
80,8.1,0,0.1,10000
81,8.2,0,0.1,10000
82,8.3,0,0.1,10000
83,8.4,0,0.1,10000
